,cords,description,name,params
249,27.599 -92.298,Ocean Baroness - Garden Banks 386,station-42892,[None]
250,27.146 -90.319,ENSCO DS-3 - Green Canyon 825,station-42893,[None]
251,28.77 -88.834,Noble Lorris Bouzigard - Mississippi Canyon 199,station-42894,[None]
252,28.273 -88.662,Island Performer - Mississippi Canyon 730,station-42895,[None]
253,28.13 -89.999,Sevan Louisiana - Ewing Banks 833,station-42896,[None]
254,27.355 -89.797,GSF Development Driller I - Atwater Valley 575,station-42897,[None]
255,27.026 -92.237,Rowan Reliance - Keathley Canyon 129,station-42898,[None]
256,26.066 -92.06,Ocean Endeavor - Keathley Canyon 919,station-42899,[None]
257,28.36 -89.423,Ocean Saratoga - Mississippi Canyon 583,station-42900,[None]
258,28.221 -88.533,Q5000 - Mississippi Canyon 777,station-42901,[None]
259,28.622 -87.984,Deepwater Proteus - Mississippi Canyon 392,station-42902,[None]
260,28.845 -87.843,Valaris Renaissance - De Soto Canyon 134,station-42903,[None]
261,28.085 -87.986,Independence Hub -  Mississippi Canyon 920,station-42904,[None]
262,26.726 -90.508,"P10,000 - Walker Ridge 249",station-42905,[None]
263,27.032 -92.074,Poseidon - GB962,station-42906,[None]
264,27.128 -90.342,Ocean BlackLion - Green Canyon 825,station-42907,[None]
265,26.909 -93.305,West Sirius - Keathley Canyon 57,station-42908,[None]
266,28.201 -88.752,ENSCO 8500 - Mississippi Canyon 772,station-42909,[None]
267,27.847 -90.719,Noble Driller - Green Canyon 113,station-42910,[None]
268,27.464 -92.433,Ocean Monarch - Garden Banks 515 #3,station-42911,[None]
269,27.233 -91.143,Discoverer Clear Leader - Garden Banks 720,station-42912,[None]
270,28.509 -88.031,ENSCO 8501 - Mississippi Canyon 479,station-42913,[None]
271,26.806 -90.567,Discoverer Americas - Walker Ridge 160,station-42914,[None]
272,28.01 -89.043,Maersk Developer - Mississippi Canyon 942,station-42915,[None]
273,28.445 -88.277,Development Driller III -  Mississippi Canyon 562,station-42916,[None]
274,27.691 -91.114,Discoverer Inspiration - Green Canyon 280,station-42917,[None]
275,27.691 -91.114,Noble Danny Adkins - Green Canyon 280,station-42918,[None]
276,28.26 -88.885,Stena Forth - Mississippi Canyon 725,station-42919,[None]
277,26.865 -93.661,ENSCO DS-4 - Keathley Canyon 93,station-42920,[None]
278,28.354 -87.82,Deepwater Pathfinder - DeSoto Canyon 618 #1,station-42921,[None]
279,26.449 -90.784,Noble Jim Day - Walker Ridge 508,station-42922,[None]
280,27.747 -91.088,ENSCO 8502 - Green Canyon 237,station-42923,[None]
281,28.243 -88.827,ENSCO 8503 - Mississippi Canyon 727,station-42924,[None]
282,28.301 -88.127,ENSCO DS-5 - Mississippi Canyon 697,station-42925,[None]
283,26.201 -92.871,Discoverer India - Keathley Canyon 770,station-42926,[None]
284,28.418 -88.032,Noble Bully I - Mississippi Canyon 567,station-42927,[None]
285,27.59 -90.311,ENSCO 8505 - GC385,station-42928,[None]
286,26.949 -93.442,Pacific Santa Ana -  Keathley Canyon 10,station-42929,[None]
287,26.906 -94.906,Deepwater Champion - Alaminos Canyon 65,station-42930,[None]
288,27.601 -91.354,Noble Bob Douglas - Green Canyon 364,station-42931,[None]
289,27.317 -90.111,Deepwater Invictus - Green Canyon 653,station-42932,[None]
290,27.333 -90.599,Noble Sam Croft - Green Canyon 643,station-42933,[None]
291,28.308 -87.318,Pacific Sharav - Mississippi Canyon 700,station-42934,[None]
292,28.235 -88.995,Tubular Bells Spar - Green Canyon 724,station-42935,[None]
293,27.934 -89.961,Rowan Resolute - Viosca Knoll MC40,station-42936,[None]
294,28.784 -88.235,Maersk Viking - Mississippi Canyon 211,station-42937,[None]
295,28.257 -89.274,Ocean Onyx - Mississippi Canyon 674,station-42938,[None]
296,28.859 -88.044,Noble Tom Madden - Mississippi Canyon 84,station-42939,[None]
297,28.079 -89.982,West Neptune - EW877,station-42940,[None]
298,8 -110,8N 110W,station-43001,"['sea_water_temperature', 'winds']"
299,10.051 -125.032,Woods Hole Spurs Wave Station,station-43010,[None]
300,8 -95,8N 95W,station-43301,"['sea_water_temperature', 'winds']"
301,16.045 -106.967,"SOUTHWEST MANZANILLO - 240 NM SW of Manzanillo, MX",station-43412,[None]
302,11.012 -100.083,"SOUTH ACAPULCO - 360NM South of Acapulco, MX",station-43413,[None]
303,38.484 -70.433,"HOTEL 200NM East of Cape May,NJ",station-44004,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
304,43.201 -69.127,"GULF OF MAINE - 78 NM East of Portsmouth, NH",station-44005,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
305,43.525 -70.14,"PORTLAND - 12 NM Southeast of Portland,ME",station-44007,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
306,40.504 -69.248,NANTUCKET 54 NM Southeast of Nantucket,station-44008,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
307,38.457 -74.702,"DELAWARE BAY 26 NM Southeast of Cape May, NJ",station-44009,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
308,41.07 -66.588,"GEORGES BANK 170 NM East of Hyannis, MA",station-44011,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
309,42.346 -70.651,"BOSTON 16 NM East of Boston, MA",station-44013,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_temperature', 'waves', 'winds']"
310,36.609 -74.842,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",station-44014,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
311,40.693 -72.049,"MONTAUK POINT - 23 NM SSW of Montauk Point, NY",station-44017,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
312,42.206 -70.143,"CAPE COD - 9 NM North of Provincetown, MA",station-44018,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
313,41.493 -70.279,NANTUCKET SOUND,station-44020,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
314,43.762 -69.988,Buoy D - New Meadows River,station-44021,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
315,40.883 -73.728,Execution Rocks,station-44022,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
316,42.325 -65.909,Buoy N01 - Northeast Channel,station-44024,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
317,40.251 -73.164,"LONG ISLAND - 30 NM South of Islip, NY",station-44025,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
318,44.283 -67.3,"Jonesport, ME - 20 NM SE of Jonesport, ME",station-44027,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
319,42.523 -70.566,Buoy A01 - Massachusetts Bay,station-44029,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
320,43.179 -70.426,Buoy B01 - Western Maine Shelf,station-44030,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
321,43.57 -70.06,Buoy C0201 - Casco Bay,station-44031,"['sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
322,43.715 -69.355,Buoy E01 - Central Maine Shelf,station-44032,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
323,44.055 -68.996,Buoy F01 - Penobscot Bay,station-44033,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
324,44.103 -68.112,Buoy I01 - Eastern Maine Shelf,station-44034,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
325,44.89 -67.02,Buoy J0201 - Cobscook Bay,station-44035,"['sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
326,43.497 -67.876,Buoy M01 - Jordan Basin,station-44037,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
327,43.633 -66.55,Buoy L0102 - Scotian Shelf,station-44038,"['sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
328,41.138 -72.655,Central Long Island Sound,station-44039,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
329,40.956 -73.58,Western Long Island Sound,station-44040,"['air_temperature', 'air_pressure_at_sea_level', 'waves', 'winds']"
330,37.212 -76.785,"Jamestown, VA",station-44041,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
331,38.033 -76.335,"Potomac, MD",station-44042,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
332,39.152 -76.391,"Patapsco, MD",station-44043,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
333,38.883 -75.183,Lower Delaware Bay Buoy,station-44054,"['sea_water_temperature', 'waves']"
334,39.122 -75.256,Central Delaware Bay,station-44055,"['sea_water_temperature', 'waves']"
335,36.2 -75.714,"Duck FRF, NC",station-44056,"['sea_water_temperature', 'waves']"
336,39.54 -76.074,"Susquehanna, MD",station-44057,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
337,37.567 -76.257,"Stingray Point, VA",station-44058,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
338,36.846 -76.298,"Norfolk, VA",station-44059,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
339,41.263 -72.067,Eastern Long Island Sound,station-44060,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
340,38.788 -77.036,"Upper Potomac, MD",station-44061,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
341,38.556 -76.415,"Gooses Reef, MD",station-44062,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
342,38.963 -76.448,"Annapolis, MD",station-44063,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
343,36.998 -76.087,"First Landing, VA",station-44064,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
344,40.369 -73.703,"New York Harbor Entrance - 15 NM SE of Breezy Point , NY",station-44065,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
345,39.618 -72.644,"Texas Tower #4 - 75 NM East of Long Beach, NJ",station-44066,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
346,38.368 -76.996,"Potomac River, Near HWY 301",station-44067,"['air_temperature', 'air_pressure_at_sea_level', 'winds']"
347,37.314 -77.191,VCU Rice Rivers Center,station-44068,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
348,40.698 -73.087,Great South Bay,station-44069,"['air_temperature', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
349,41.392 -71.004,Buzzards Bay MA. Offshore,station-44070,[None]
350,37.201 -76.266,"York Spit, VA",station-44072,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
351,43.02 -70.54,CO2 Gulf of Maine Buoy,station-44073,"['air_temperature', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
352,40.363 -70.883,OOI Pioneer Inshore Surface Mooring,station-44075,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
353,40.137 -70.775,OOI Pioneer Central Surface Mooring,station-44076,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
354,39.94 -70.883,OOI Pioneer Offshore Surface Mooring,station-44077,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'winds']"
355,59.94 -39.52,OOI Irminger Sea Surface Mooring,station-44078,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
356,36.001 -75.421,"Nags Head, NC (243)",station-44086,"['sea_water_temperature', 'waves']"
357,37.025 -76.151,"Thimble Shoal, VA (240)",station-44087,"['sea_water_temperature', 'waves']"
358,36.611 -74.841,"Virginia Beach Offshore, VA (171)",station-44088,"['air_temperature', 'sea_water_temperature', 'waves']"
359,37.754 -75.325,"Wallops Island, VA (224)",station-44089,"['sea_water_temperature', 'waves']"
360,41.84 -70.329,"Cape Cod Bay, MA (221)",station-44090,"['sea_water_temperature', 'waves']"
361,39.768 -73.77,"Barnegat, NJ (209)",station-44091,"['sea_water_temperature', 'waves']"
362,42.942 -70.632,"Isle of Shoals, NH (211)",station-44092,"['sea_water_temperature', 'waves']"
363,36.872 -75.492,"Offshore Wind Energy Area, VA (210)",station-44093,"['sea_water_temperature', 'waves']"
364,40.585 -73.106,"Fire Island Nearshore, NY (207)",station-44094,"['sea_water_temperature', 'waves']"
365,35.75 -75.33,"Oregon Inlet, NC (192)",station-44095,"['sea_water_temperature', 'waves']"
366,37.023 -75.809,"Cape Charles, VA (186)",station-44096,"['sea_water_temperature', 'waves']"
367,40.967 -71.126,"Block Island, RI  (154)",station-44097,"['sea_water_temperature', 'waves']"
368,42.8 -70.171,"Jeffrey's Ledge, NH (160)",station-44098,"['sea_water_temperature', 'waves']"
369,36.915 -75.722,"Cape Henry, VA (147)",station-44099,"['sea_water_temperature', 'waves']"
370,36.258 -75.593,"Duck FRF 26m, NC (430)",station-44100,"['sea_water_temperature', 'waves']"
371,44.5 -63.408,"Halifax Harbor, NS, Canada - 176",station-44172,"['sea_water_temperature', 'waves']"
372,37.592 -50.03,"NORTHEAST CASTLE ROCK SEAMOUNT - 620NM South of St John's Newfoundland, CN",station-44401,[None]
373,39.289 -70.639,"SOUTHEAST BLOCK CANYON - 130 NM SE of Fire Island, NY",station-44402,[None]
374,41.904 -61.655,"SABLE ISLAND BANK - 437 NM E of Boston, MA",station-44403,[None]
375,48.061 -87.793,"MID SUPERIOR- 60 NM North Northeast Hancock, MI",station-45001,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
376,45.344 -86.411,NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.,station-45002,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
377,45.351 -82.84,"NORTH HURON - 32NM Northeast of Alpena, MI",station-45003,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
378,47.585 -86.585,"EAST SUPERIOR -70 NM NE Marquette, MI",station-45004,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
379,41.677 -82.398,"WEST ERIE - 16 NM NW of Lorain, OH",station-45005,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
380,47.335 -89.793,"WEST SUPERIOR - 30NM NE of Outer Island, WI",station-45006,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
381,42.674 -87.026,"SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI",station-45007,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
382,44.283 -82.416,"SOUTH HURON - 43NM East of Oscoda, MI",station-45008,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
383,43.621 -77.401,"EAST Lake Ontario  - 20NM North Northeast of Rochester, NY",station-45012,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
384,43.1 -87.85,"ATW20 - Atwater Park, WI",station-45013,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
385,44.802 -87.763,"GB17 - South Green Bay, WI",station-45014,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
386,41.714 -87.527,"Calumet Beach, Chicago, IL",station-45015,"['sea_water_temperature', 'waves']"
387,41.783 -87.573,"Sixth-third St. Beach, Chicago, IL",station-45016,"['sea_water_temperature', 'waves']"
388,41.903 -87.622,"Oak St. Beach, Chicago, IL",station-45017,"['sea_water_temperature', 'waves']"
389,41.968 -87.637,"Montrose Ave. Beach, Chicago, IL",station-45018,"['sea_water_temperature', 'waves']"
390,41.979 -87.649,"Foster Ave. Beach, Chicago, IL",station-45019,"['sea_water_temperature', 'waves']"
391,44.789 -85.604,"Grand Traverse Bay South Buoy, MI",station-45020,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
392,45.048 -85.493,"Traverse Bay #3, MI",station-45021,"['waves', 'winds']"
393,45.405 -85.086,"Little Traverse Bay Buoy, MI",station-45022,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
394,47.27 -88.607,"North Entry Buoy, North Keweenaw Peninsula, MI",station-45023,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
395,43.955 -86.554,"Ludington Buoy, MI",station-45024,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
396,46.969 -88.398,"South Entry Buoy, South Keweenaw Peninsula, MI",station-45025,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
397,41.982 -86.619,"Cook Nuclear Plant Buoy, Stevensville, MI",station-45026,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
398,46.86 -91.93,"McQuade Harbor Nearshore, MN",station-45027,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
399,46.814 -91.829,Western Lake Superior,station-45028,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
400,42.9 -86.272,"Holland Buoy, MI",station-45029,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
401,43.185 -86.355,"Muskegon Buoy, MI",station-45161,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
402,44.988 -83.27,"Thunder Bay Buoy, Alpena, MI",station-45162,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
403,43.983 -83.595,"Saginaw Bay Buoy, MI",station-45163,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
404,41.732 -81.694,"Cleveland Buoy, OH",station-45164,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
405,41.702 -83.261,"Toledo Water Intake Buoy, Oregon, OH",station-45165,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
406,44.785 -73.258,Lake Champlain - Inland Sea,station-45166,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
407,42.185 -80.135,"Erie Nearshore Buoy, Erie, PA",station-45167,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
408,42.397 -86.331,"South Haven Buoy, MI",station-45168,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
409,41.615 -81.821,"Lakewood Buoy, OH",station-45169,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
410,41.755 -86.968,"Michigan City Buoy, IN",station-45170,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
411,46.724 -87.411,"Granite Island Buoy, Granite Island, MI",station-45171,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
412,46.74 -85.98,"Grand Marais Buoy, Grand Marais, MI",station-45172,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
413,46.573 -86.572,"Munising Buoy, Munising, MI",station-45173,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
414,42.135 -87.655,"Wilmette Buoy, IL",station-45174,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
415,45.825 -84.772,"Mackinac Straits West, Mackinaw City, MI",station-45175,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
416,41.55 -81.765,"Cleveland Intake Crib Buoy, OH",station-45176,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
417,41.894 -87.613,"Ohio St. Beach, Chicago, IL",station-45177,"['sea_water_temperature', 'waves']"
418,44.603 -73.394,"1 NM SE of Valcour Island, NY",station-45178,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
419,47.195 -87.224,Stannard Rock Buoy,station-45179,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
420,48.034 -87.73,"Isle of Royale East, MI (230)",station-45180,"['sea_water_temperature', 'waves']"
421,44.982 -85.831,Sleeping Bear Dunes,station-45183,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
422,42.368 -87.795,"Waukegan Buoy, IL",station-45186,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
423,42.491 -87.779,"Winthrop Harbor Buoy, IL",station-45187,"['air_temperature', 'sea_water_temperature', 'waves', 'winds']"
424,44.094 -73.423,Champlain Bridge Buoy,station-45188,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'winds']"
425,45.804 -84.792,"McGulpin Point North, MI (253)",station-45194,"['air_temperature', 'waves']"
426,56.232 -147.949,"WESTERN GULF OF ALASKA  - 175NM SE of Kodiak, AK",station-46001,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
427,42.658 -130.502,"WEST OREGON - 275NM West of Coos Bay, OR",station-46002,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
428,46.134 -131.079,"WEST WASHINGTON - 300NM West of Aberdeen, WA",station-46005,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
429,40.766 -137.379,"SOUTHEAST PAPA - 600NM West of Eureka, CA",station-46006,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
430,34.956 -121.019,"SANTA MARIA - 21NM NW of Point Arguello, CA",station-46011,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
431,37.356 -122.881,"HALF MOON BAY - 24NM SSW of San Francisco, CA",station-46012,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
432,38.253 -123.303,"BODEGA BAY - 48NM NW of San Francisco, CA",station-46013,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
433,39.231 -123.974,"PT ARENA - 19NM North of Point Arena, CA",station-46014,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
434,42.752 -124.844,"PORT ORFORD - 15 NM West of Port Orford, OR",station-46015,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
435,40.748 -124.527,"EEL RIVER - 17NM WSW of Eureka, CA",station-46022,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_electrical_conductivity', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
436,34.714 -120.967,"PT ARGUELLO - 17NM WNW of Point Arguello, CA",station-46023,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
437,33.758 -119.044,"Santa Monica Basin - 33NM WSW of Santa Monica, CA",station-46025,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
438,37.754 -122.839,"SAN FRANCISCO - 18NM West of San Francisco, CA",station-46026,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
439,41.852 -124.38,"ST GEORGES - 8 NM NW of Crescent City, CA",station-46027,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
440,35.77 -121.903,"CAPE SAN MARTIN - 55NM West NW of Morro Bay, CA",station-46028,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
441,46.143 -124.485,COLUMBIA RIVER BAR - 20NM West of Columbia River Mouth,station-46029,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_salinity', 'sea_water_temperature', 'waves', 'winds']"
442,57.016 -177.703,"CENTRAL BERING SEA - 310 NM North of Adak, AK",station-46035,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
443,47.353 -124.742,"CAPE ELIZABETH- 45NM NW of Aberdeen, WA",station-46041,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
444,36.785 -122.398,"MONTEREY - 27NM WNW of Monterey, CA",station-46042,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
445,32.404 -119.506,"TANNER BANK - 121 NM West of San Diego, CA",station-46047,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
446,44.669 -124.546,"STONEWALL BANK - 20NM West of Newport, OR",station-46050,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
447,34.241 -119.839,"EAST SANTA BARBARA  - 12NM Southwest of Santa Barbara, CA",station-46053,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
448,34.273 -120.47,"WEST SANTA BARBARA  38 NM West of Santa Barbara, CA",station-46054,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
449,38.094 -129.951,"WEST CALIFORNIA - 357NM West of San Francisco, CA",station-46059,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
450,60.587 -146.819,"WEST ORCA BAY - 8NM NW of Hinchinbrook Is., AK",station-46060,"['air_temperature', 'air_pressure_at_sea_level', 'currents', 'sea_water_temperature', 'waves', 'winds']"
451,60.238 -146.833,"Seal Rocks - Between Montague and Hinchinbrook Islands, AK",station-46061,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
452,34.273 -120.699,"Pt.Conception, CA - 50NM West of Santa Barbara, CA",station-46063,"['currents', 'sea_water_temperature', 'waves']"
453,52.765 -155.009,"SOUTH KODIAK - 310NM SSW of Kodiak, AK",station-46066,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
454,33.677 -120.213,SOUTH SANTA ROSA IS. CA,station-46069,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
455,55.008 175.183,"SOUTHWEST BERING SEA - 142NM NNE OF ATTU IS, AK",station-46070,"['air_temperature', 'air_pressure_at_sea_level', 'sea_water_temperature', 'waves', 'winds']"
